,Cell_Bin,Lipid A,Mean,SD,Source,Signal,Sampling,gene_name,FCV MemSeq,FCV scRNA-sq
0,<4,500 ng/mL,0.1312803026537295,0.0665044478367275,Experiment,per_cd36_mean,4,Cd36,9.87344749,3.625738706
1,<4,Mock,0.2199607219304445,0.2181612057902383,Experiment,per_cd36_mean,4,Cd36,9.87344749,3.625738706
2,4-6,500 ng/mL,0.226004738382967,0.105480405138823,Experiment,per_cd36_mean,4,Cd36,9.87344749,3.625738706
3,4-6,Mock,0.4521780162715045,0.2515840564756231,Experiment,per_cd36_mean,4,Cd36,9.87344749,3.625738706
4,6-8,500 ng/mL,0.5038242047062057,0.0860837350650897,Experiment,per_cd36_mean,4,Cd36,9.87344749,3.625738706
5,6-8,Mock,0.5098709078949609,0.1253246281643357,Experiment,per_cd36_mean,4,Cd36,9.87344749,3.625738706
6,>8,500 ng/mL,0.4769135399811917,0.0481170729540074,Experiment,per_cd36_mean,4,Cd36,9.87344749,3.625738706
7,>8,Mock,0.4868335747690242,0.0363997452217357,Experiment,per_cd36_mean,4,Cd36,9.87344749,3.625738706
8,<4,500 ng/mL,0.2062651664018631,0.0451772920787334,Theory,per_cd36_mean,2000,Cd36,9.87344749,3.625738706
9,<4,Mock,0.2736120522022247,0.0837640315294265,Theory,per_cd36_mean,2000,Cd36,9.87344749,3.625738706
10,4-6,500 ng/mL,0.1223353818058967,0.0070378906093537,Theory,per_cd36_mean,2000,Cd36,9.87344749,3.625738706
11,4-6,Mock,0.1372667700052261,0.0110806906595826,Theory,per_cd36_mean,2000,Cd36,9.87344749,3.625738706
12,6-8,500 ng/mL,0.0588830336928367,0.0031993030570447,Theory,per_cd36_mean,2000,Cd36,9.87344749,3.625738706
13,6-8,Mock,0.0690168514847755,0.0037928679957985,Theory,per_cd36_mean,2000,Cd36,9.87344749,3.625738706
14,>8,500 ng/mL,0.0332983657717704,0.0018545638304203,Theory,per_cd36_mean,2000,Cd36,9.87344749,3.625738706
15,>8,Mock,0.0385433658957481,0.0022442482877522,Theory,per_cd36_mean,2000,Cd36,9.87344749,3.625738706
16,<4,500 ng/mL,0.1430435298176298,0.0604160098326107,Experiment,per_p65_mean,4,RelA,1.62693983,0.973999099
17,<4,Mock,0.0845103345944291,0.0645222153383511,Experiment,per_p65_mean,4,RelA,1.62693983,0.973999099
18,4-6,500 ng/mL,0.111585179053833,0.0313134987450376,Experiment,per_p65_mean,4,RelA,1.62693983,0.973999099
19,4-6,Mock,0.1286734234164873,0.0226265882491399,Experiment,per_p65_mean,4,RelA,1.62693983,0.973999099
20,6-8,500 ng/mL,0.0749376926428404,0.0080608873982183,Experiment,per_p65_mean,4,RelA,1.62693983,0.973999099
21,6-8,Mock,0.0796549794813705,0.0150154964586796,Experiment,per_p65_mean,4,RelA,1.62693983,0.973999099
22,>8,500 ng/mL,0.056730601024563,0.0042234949486929,Experiment,per_p65_mean,4,RelA,1.62693983,0.973999099
23,>8,Mock,0.073754744453014,0.0097149911936769,Experiment,per_p65_mean,4,RelA,1.62693983,0.973999099
24,<4,500 ng/mL,0.1554900854825973,0.0168955139815807,Theory,per_p65_mean,2000,RelA,1.62693983,0.973999099
25,<4,Mock,0.204499214887619,0.0428327210247516,Theory,per_p65_mean,2000,RelA,1.62693983,0.973999099
26,4-6,500 ng/mL,0.0911906585097312,0.0050079626962542,Theory,per_p65_mean,2000,RelA,1.62693983,0.973999099
27,4-6,Mock,0.0961106270551681,0.0073953722603619,Theory,per_p65_mean,2000,RelA,1.62693983,0.973999099
28,6-8,500 ng/mL,0.0439358614385128,0.0022936649620532,Theory,per_p65_mean,2000,RelA,1.62693983,0.973999099
29,6-8,Mock,0.048229344189167,0.0026819973718374,Theory,per_p65_mean,2000,RelA,1.62693983,0.973999099
30,>8,500 ng/mL,0.0247352868318557,0.0013633595081046,Theory,per_p65_mean,2000,RelA,1.62693983,0.973999099
31,>8,Mock,0.0269890688359737,0.0015165662625804,Theory,per_p65_mean,2000,RelA,1.62693983,0.973999099
32,<4,500 ng/mL,0.15054177703202,0.0356166394447576,Experiment,per_relb_mean,4,Relb,1.365275572,2.181121264
33,<4,Mock,0.1201389935750322,0.0490135554520573,Experiment,per_relb_mean,4,Relb,1.365275572,2.181121264
34,4-6,500 ng/mL,0.1664966515355108,0.0336367134706143,Experiment,per_relb_mean,4,Relb,1.365275572,2.181121264
35,4-6,Mock,0.1824312361451508,0.0549219151931846,Experiment,per_relb_mean,4,Relb,1.365275572,2.181121264
36,6-8,500 ng/mL,0.1373225853372196,0.0314990427458886,Experiment,per_relb_mean,4,Relb,1.365275572,2.181121264
37,6-8,Mock,0.1493476452025607,0.0226128867934141,Experiment,per_relb_mean,4,Relb,1.365275572,2.181121264
38,>8,500 ng/mL,0.1132819161366815,0.0130290551451508,Experiment,per_relb_mean,4,Relb,1.365275572,2.181121264
39,>8,Mock,0.1251820398040636,0.0306856785279591,Experiment,per_relb_mean,4,Relb,1.365275572,2.181121264
40,<4,500 ng/mL,0.1785926669836044,0.0260149165987968,Theory,per_relb_mean,2000,Relb,1.365275572,2.181121264
41,<4,Mock,0.20796799659729,0.0521585717797279,Theory,per_relb_mean,2000,Relb,1.365275572,2.181121264
42,4-6,500 ng/mL,0.1048540920019149,0.0057220198214054,Theory,per_relb_mean,2000,Relb,1.365275572,2.181121264
43,4-6,Mock,0.1011033505201339,0.0084119290113449,Theory,per_relb_mean,2000,Relb,1.365275572,2.181121264
44,6-8,500 ng/mL,0.0504718050360679,0.0027264554519206,Theory,per_relb_mean,2000,Relb,1.365275572,2.181121264
45,6-8,Mock,0.0505966991186142,0.0028107229154556,Theory,per_relb_mean,2000,Relb,1.365275572,2.181121264
46,>8,500 ng/mL,0.0284694284200668,0.0015571792609989,Theory,per_relb_mean,2000,Relb,1.365275572,2.181121264
47,>8,Mock,0.0283124614506959,0.0016235798830166,Theory,per_relb_mean,2000,Relb,1.365275572,2.181121264
48,<4,500 ng/mL,0.2820049056722205,0.0858236331334485,Experiment,per_f480_mean,4,Adgre1,1.62693983,4.567682118
49,<4,Mock,0.2225503995968487,0.0583408643534693,Experiment,per_f480_mean,4,Adgre1,1.62693983,4.567682118
50,4-6,500 ng/mL,0.2190521818061811,0.0303645162994564,Experiment,per_f480_mean,4,Adgre1,1.62693983,4.567682118
51,4-6,Mock,0.214929674501895,0.0485369679356196,Experiment,per_f480_mean,4,Adgre1,1.62693983,4.567682118
52,6-8,500 ng/mL,0.1938130806947239,0.032737553447839,Experiment,per_f480_mean,4,Adgre1,1.62693983,4.567682118
53,6-8,Mock,0.2111202867187192,0.0369645364088969,Experiment,per_f480_mean,4,Adgre1,1.62693983,4.567682118
54,>8,500 ng/mL,0.1040459290952946,0.0129883339626017,Experiment,per_f480_mean,4,Adgre1,1.62693983,4.567682118
55,>8,Mock,0.1501080091871417,0.0321527558668464,Experiment,per_f480_mean,4,Adgre1,1.62693983,4.567682118
56,<4,500 ng/mL,0.173598051071167,0.0112486518919467,Theory,per_f480_mean,2000,Adgre1,1.62693983,4.567682118
57,<4,Mock,0.1809712052345276,0.0257972534745931,Theory,per_f480_mean,2000,Adgre1,1.62693983,4.567682118
58,4-6,500 ng/mL,0.1018938794732093,0.0047125089913606,Theory,per_f480_mean,2000,Adgre1,1.62693983,4.567682118
59,4-6,Mock,0.1040248200297355,0.008599785156548,Theory,per_f480_mean,2000,Adgre1,1.62693983,4.567682118
60,6-8,500 ng/mL,0.0493022464215755,0.0030611653346568,Theory,per_f480_mean,2000,Adgre1,1.62693983,4.567682118
61,6-8,Mock,0.0512085072696208,0.0036674975417554,Theory,per_f480_mean,2000,Adgre1,1.62693983,4.567682118
62,>8,500 ng/mL,0.0283980183303356,0.0020876489579677,Theory,per_f480_mean,2000,Adgre1,1.62693983,4.567682118
63,>8,Mock,0.0307250656187534,0.0025447777006775,Theory,per_f480_mean,2000,Adgre1,1.62693983,4.567682118
64,<4,500 ng/mL,0.2471285825280452,0.0271420415027495,Experiment,per_tnfr2_mean,4,Tnfrsf1b,4.456643221,5.004491301
65,<4,Mock,0.2189011963172967,0.0974746323101137,Experiment,per_tnfr2_mean,4,Tnfrsf1b,4.456643221,5.004491301
66,4-6,500 ng/mL,0.1851170291442735,0.0255071679363444,Experiment,per_tnfr2_mean,4,Tnfrsf1b,4.456643221,5.004491301
67,4-6,Mock,0.2237134444237444,0.0651205718694447,Experiment,per_tnfr2_mean,4,Tnfrsf1b,4.456643221,5.004491301
68,6-8,500 ng/mL,0.1717257238552716,0.0171367557195854,Experiment,per_tnfr2_mean,4,Tnfrsf1b,4.456643221,5.004491301
69,6-8,Mock,0.2039777943949891,0.0063287626325492,Experiment,per_tnfr2_mean,4,Tnfrsf1b,4.456643221,5.004491301
70,>8,500 ng/mL,0.149923269186349,0.0617898956163151,Experiment,per_tnfr2_mean,4,Tnfrsf1b,4.456643221,5.004491301
71,>8,Mock,0.187322005156637,0.0808967510804082,Experiment,per_tnfr2_mean,4,Tnfrsf1b,4.456643221,5.004491301
72,<4,500 ng/mL,0.2507762610912323,0.0166202262043952,Theory,per_tnfr2_mean,2000,Tnfrsf1b,4.456643221,5.004491301
73,<4,Mock,0.2347166091203689,0.0319200456142425,Theory,per_tnfr2_mean,2000,Tnfrsf1b,4.456643221,5.004491301
74,4-6,500 ng/mL,0.1467621177434921,0.0067461393773555,Theory,per_tnfr2_mean,2000,Tnfrsf1b,4.456643221,5.004491301
75,4-6,Mock,0.1338908076286316,0.0107935052365064,Theory,per_tnfr2_mean,2000,Tnfrsf1b,4.456643221,5.004491301
76,6-8,500 ng/mL,0.0711396113038063,0.0043902131728827,Theory,per_tnfr2_mean,2000,Tnfrsf1b,4.456643221,5.004491301
77,6-8,Mock,0.066065214574337,0.0046571474522352,Theory,per_tnfr2_mean,2000,Tnfrsf1b,4.456643221,5.004491301
78,>8,500 ng/mL,0.0409281067550182,0.0030276468023657,Theory,per_tnfr2_mean,2000,Tnfrsf1b,4.456643221,5.004491301
79,>8,Mock,0.0394130870699882,0.0032217025291174,Theory,per_tnfr2_mean,2000,Tnfrsf1b,4.456643221,5.004491301
80,<4,500 ng/mL,0.2252008916500185,0.0438106547263072,Experiment,per_il1b_mean,6,Il1b,2.925689994,2.863753003
81,<4,Mock,0.1743023179787887,0.0274570413176585,Experiment,per_il1b_mean,6,Il1b,2.925689994,2.863753003
82,4-6,500 ng/mL,0.1643940801066708,0.0152544432549022,Experiment,per_il1b_mean,6,Il1b,2.925689994,2.863753003
83,4-6,Mock,0.1753006701043767,0.0321557498762563,Experiment,per_il1b_mean,6,Il1b,2.925689994,2.863753003
84,6-8,500 ng/mL,0.1362947342270734,0.0246940241808061,Experiment,per_il1b_mean,6,Il1b,2.925689994,2.863753003
85,6-8,Mock,0.1197040389346979,0.0145099880746972,Experiment,per_il1b_mean,6,Il1b,2.925689994,2.863753003
86,>8,500 ng/mL,0.0954870714764987,0.0197474762043253,Experiment,per_il1b_mean,6,Il1b,2.925689994,2.863753003
87,>8,Mock,0.0802080557413013,0.0083251868713816,Experiment,per_il1b_mean,6,Il1b,2.925689994,2.863753003
88,<4,500 ng/mL,0.2168052941560745,0.015473149716854,Theory,per_il1b_mean,2000,Il1b,2.925689994,2.863753003
89,<4,Mock,0.0812408700585365,0.0228081587702035,Theory,per_il1b_mean,2000,Il1b,2.925689994,2.863753003
90,4-6,500 ng/mL,0.1191475987434387,0.0041523766703903,Theory,per_il1b_mean,2000,Il1b,2.925689994,2.863753003
91,4-6,Mock,0.0412915013730526,0.004644769243896,Theory,per_il1b_mean,2000,Il1b,2.925689994,2.863753003
92,6-8,500 ng/mL,0.0572982467710971,0.002842241898179,Theory,per_il1b_mean,2000,Il1b,2.925689994,2.863753003
93,6-8,Mock,0.0200624782592058,0.0017729583196341,Theory,per_il1b_mean,2000,Il1b,2.925689994,2.863753003
94,>8,500 ng/mL,0.029432937502861,0.0016005707439035,Theory,per_il1b_mean,2000,Il1b,2.925689994,2.863753003
