Cell_Bin,Lipid A,Mean,SD,Source,Signal
<4,500 ng/mL,0.13128030265372953,0.06650444783672751,Experiment,per_cd36_mean
<4,Mock,0.21996072193044458,0.21816120579023837,Experiment,per_cd36_mean
4-6,500 ng/mL,0.22600473838296703,0.10548040513882309,Experiment,per_cd36_mean
4-6,Mock,0.45217801627150456,0.25158405647562315,Experiment,per_cd36_mean
6-8,500 ng/mL,0.5038242047062057,0.08608373506508976,Experiment,per_cd36_mean
6-8,Mock,0.5098709078949609,0.12532462816433576,Experiment,per_cd36_mean
>8,500 ng/mL,0.4769135399811917,0.04811707295400741,Experiment,per_cd36_mean
>8,Mock,0.4868335747690242,0.03639974522173573,Experiment,per_cd36_mean
<4,500 ng/mL,0.2062651664018631,0.045177292078733444,Theory,per_cd36_mean
<4,Mock,0.27361205220222473,0.08376403152942657,Theory,per_cd36_mean
4-6,500 ng/mL,0.12233538180589676,0.007037890609353781,Theory,per_cd36_mean
4-6,Mock,0.13726677000522614,0.011080690659582615,Theory,per_cd36_mean
6-8,500 ng/mL,0.05888303369283676,0.0031993030570447445,Theory,per_cd36_mean
6-8,Mock,0.06901685148477554,0.003792867995798588,Theory,per_cd36_mean
>8,500 ng/mL,0.03329836577177048,0.0018545638304203749,Theory,per_cd36_mean
>8,Mock,0.03854336589574814,0.0022442482877522707,Theory,per_cd36_mean
<4,500 ng/mL,0.14304352981762988,0.06041600983261078,Experiment,per_p65_mean
<4,Mock,0.08451033459442918,0.0645222153383511,Experiment,per_p65_mean
4-6,500 ng/mL,0.11158517905383306,0.0313134987450376,Experiment,per_p65_mean
4-6,Mock,0.12867342341648733,0.02262658824913992,Experiment,per_p65_mean
6-8,500 ng/mL,0.0749376926428404,0.008060887398218395,Experiment,per_p65_mean
6-8,Mock,0.07965497948137058,0.015015496458679644,Experiment,per_p65_mean
>8,500 ng/mL,0.05673060102456306,0.00422349494869295,Experiment,per_p65_mean
>8,Mock,0.07375474445301403,0.009714991193676933,Experiment,per_p65_mean
<4,500 ng/mL,0.15549008548259735,0.016895513981580734,Theory,per_p65_mean
<4,Mock,0.20449921488761902,0.04283272102475166,Theory,per_p65_mean
4-6,500 ng/mL,0.09119065850973129,0.005007962696254253,Theory,per_p65_mean
4-6,Mock,0.09611062705516815,0.00739537226036191,Theory,per_p65_mean
6-8,500 ng/mL,0.0439358614385128,0.002293664962053299,Theory,per_p65_mean
6-8,Mock,0.04822934418916702,0.0026819973718374968,Theory,per_p65_mean
>8,500 ng/mL,0.024735286831855774,0.0013633595081046224,Theory,per_p65_mean
>8,Mock,0.02698906883597374,0.0015165662625804543,Theory,per_p65_mean
<4,500 ng/mL,0.15054177703202007,0.035616639444757694,Experiment,per_relb_mean
<4,Mock,0.12013899357503226,0.04901355545205735,Experiment,per_relb_mean
4-6,500 ng/mL,0.16649665153551085,0.03363671347061437,Experiment,per_relb_mean
4-6,Mock,0.18243123614515083,0.05492191519318463,Experiment,per_relb_mean
6-8,500 ng/mL,0.13732258533721964,0.03149904274588868,Experiment,per_relb_mean
6-8,Mock,0.14934764520256072,0.022612886793414128,Experiment,per_relb_mean
>8,500 ng/mL,0.11328191613668155,0.013029055145150892,Experiment,per_relb_mean
>8,Mock,0.12518203980406367,0.030685678527959125,Experiment,per_relb_mean
<4,500 ng/mL,0.17859266698360443,0.026014916598796844,Theory,per_relb_mean
<4,Mock,0.20796799659729004,0.052158571779727936,Theory,per_relb_mean
4-6,500 ng/mL,0.10485409200191498,0.005722019821405411,Theory,per_relb_mean
4-6,Mock,0.10110335052013397,0.00841192901134491,Theory,per_relb_mean
6-8,500 ng/mL,0.05047180503606796,0.0027264554519206285,Theory,per_relb_mean
6-8,Mock,0.0505966991186142,0.002810722915455699,Theory,per_relb_mean
>8,500 ng/mL,0.028469428420066833,0.0015571792609989643,Theory,per_relb_mean
>8,Mock,0.02831246145069599,0.001623579883016646,Theory,per_relb_mean
