Cell_Bin,Lipid A,Mean,SD,Source,Signal
<4,500 ng/mL,0.22520089165001855,0.0438106547263072,Experiment,per_il1b_mean
<4,Mock,0.17430231797878878,0.027457041317658543,Experiment,per_il1b_mean
4-6,500 ng/mL,0.1643940801066708,0.015254443254902224,Experiment,per_il1b_mean
4-6,Mock,0.17530067010437678,0.03215574987625636,Experiment,per_il1b_mean
6-8,500 ng/mL,0.13629473422707344,0.024694024180806178,Experiment,per_il1b_mean
6-8,Mock,0.11970403893469793,0.014509988074697257,Experiment,per_il1b_mean
>8,500 ng/mL,0.0954870714764987,0.01974747620432537,Experiment,per_il1b_mean
>8,Mock,0.08020805574130135,0.008325186871381694,Experiment,per_il1b_mean
<4,500 ng/mL,0.21680529415607452,0.015473149716854095,Theory,per_il1b_mean
<4,Mock,0.08124087005853653,0.02280815877020359,Theory,per_il1b_mean
4-6,500 ng/mL,0.11914759874343872,0.0041523766703903675,Theory,per_il1b_mean
4-6,Mock,0.0412915013730526,0.0046447692438960075,Theory,per_il1b_mean
6-8,500 ng/mL,0.05729824677109718,0.0028422418981790543,Theory,per_il1b_mean
6-8,Mock,0.020062478259205818,0.0017729583196341991,Theory,per_il1b_mean
>8,500 ng/mL,0.029432937502861023,0.0016005707439035177,Theory,per_il1b_mean
>8,Mock,0.010984029620885849,0.0007732299854978919,Theory,per_il1b_mean
<4,500 ng/mL,0.3159007575290389,0.032167398471598635,Experiment,per_tnfa_mean
<4,Mock,0.17235683661493417,0.09348154406792243,Experiment,per_tnfa_mean
4-6,500 ng/mL,0.29260767810795263,0.03022815729210081,Experiment,per_tnfa_mean
4-6,Mock,0.15627277103747175,0.10285445735321617,Experiment,per_tnfa_mean
6-8,500 ng/mL,0.25944205000721293,0.09570215089486378,Experiment,per_tnfa_mean
6-8,Mock,0.10601888087656346,0.02144053934080742,Experiment,per_tnfa_mean
>8,500 ng/mL,0.20719005806784577,0.041337980257301704,Experiment,per_tnfa_mean
>8,Mock,0.08627773614063079,0.027701818892164116,Experiment,per_tnfa_mean
<4,500 ng/mL,0.1383122056722641,0.02351228892803192,Theory,per_tnfa_mean
<4,Mock,0.10790304094552994,0.008285557851195335,Theory,per_tnfa_mean
4-6,500 ng/mL,0.07683679461479187,0.0038414590526372194,Theory,per_tnfa_mean
4-6,Mock,0.05391719192266464,0.0025364968460053205,Theory,per_tnfa_mean
6-8,500 ng/mL,0.0369814932346344,0.0020895441994071007,Theory,per_tnfa_mean
6-8,Mock,0.026019353419542313,0.001456251135095954,Theory,per_tnfa_mean
>8,500 ng/mL,0.018954236060380936,0.0010909826960414648,Theory,per_tnfa_mean
>8,Mock,0.014197909273207188,0.0008423288818448782,Theory,per_tnfa_mean
