Cell_Bin,Lipid A,Mean,SD,Source,Signal
<4,500 ng/mL,0.28200490567222053,0.08582363313344857,Experiment,per_f480_mean
<4,Mock,0.2225503995968487,0.05834086435346935,Experiment,per_f480_mean
4-6,500 ng/mL,0.2190521818061811,0.030364516299456433,Experiment,per_f480_mean
4-6,Mock,0.21492967450189507,0.04853696793561963,Experiment,per_f480_mean
6-8,500 ng/mL,0.19381308069472392,0.03273755344783906,Experiment,per_f480_mean
6-8,Mock,0.2111202867187192,0.03696453640889699,Experiment,per_f480_mean
>8,500 ng/mL,0.10404592909529467,0.012988333962601762,Experiment,per_f480_mean
>8,Mock,0.15010800918714176,0.03215275586684646,Experiment,per_f480_mean
<4,500 ng/mL,0.173598051071167,0.011248651891946793,Theory,per_f480_mean
<4,Mock,0.1809712052345276,0.025797253474593163,Theory,per_f480_mean
4-6,500 ng/mL,0.10189387947320938,0.004712508991360664,Theory,per_f480_mean
4-6,Mock,0.10402482002973557,0.008599785156548023,Theory,per_f480_mean
6-8,500 ng/mL,0.049302246421575546,0.0030611653346568346,Theory,per_f480_mean
6-8,Mock,0.051208507269620895,0.003667497541755438,Theory,per_f480_mean
>8,500 ng/mL,0.028398018330335617,0.002087648957967758,Theory,per_f480_mean
>8,Mock,0.030725065618753433,0.002544777700677514,Theory,per_f480_mean
<4,500 ng/mL,0.24712858252804526,0.027142041502749598,Experiment,per_tnfr2_mean
<4,Mock,0.21890119631729676,0.09747463231011377,Experiment,per_tnfr2_mean
4-6,500 ng/mL,0.18511702914427358,0.025507167936344416,Experiment,per_tnfr2_mean
4-6,Mock,0.22371344442374447,0.06512057186944471,Experiment,per_tnfr2_mean
6-8,500 ng/mL,0.1717257238552716,0.0171367557195854,Experiment,per_tnfr2_mean
6-8,Mock,0.20397779439498914,0.006328762632549228,Experiment,per_tnfr2_mean
>8,500 ng/mL,0.14992326918634902,0.06178989561631513,Experiment,per_tnfr2_mean
>8,Mock,0.187322005156637,0.0808967510804082,Experiment,per_tnfr2_mean
<4,500 ng/mL,0.2507762610912323,0.016620226204395294,Theory,per_tnfr2_mean
<4,Mock,0.23471660912036896,0.031920045614242554,Theory,per_tnfr2_mean
4-6,500 ng/mL,0.14676211774349213,0.0067461393773555756,Theory,per_tnfr2_mean
4-6,Mock,0.1338908076286316,0.010793505236506462,Theory,per_tnfr2_mean
6-8,500 ng/mL,0.0711396113038063,0.004390213172882795,Theory,per_tnfr2_mean
6-8,Mock,0.066065214574337,0.004657147452235222,Theory,per_tnfr2_mean
>8,500 ng/mL,0.040928106755018234,0.00302764680236578,Theory,per_tnfr2_mean
>8,Mock,0.03941308706998825,0.003221702529117465,Theory,per_tnfr2_mean
